procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 158706  24196 181838    0    0     0     0   31   37  0  0 100  0  0 2020-05-25 19:41:43
 0  0  91819 158706  24196 181838    0    0     0     0   35   49  0  1 99  0  0 2020-05-25 19:41:44
 0  0  91819 158449  24196 181838    0    0     0     0  332  275  0  3 97  0  0 2020-05-25 19:41:45
 0  0  91819 158706  24194 181838    0    0     0     0   79   80  0  0 100  0  0 2020-05-25 19:41:46
 0  0  91819 158706  24194 181838    0    0     0    16   93  105  0  1 99  0  0 2020-05-25 19:41:47
 0  0  91819 158706  24194 181799    0    0     0     0   64   56  0  1 99  0  0 2020-05-25 19:41:48
 0  0  91819 158706  24194 181799    0    0     0     0   46   74  7  1 92  0  0 2020-05-25 19:41:49
 0  0  91819 158706  24194 181799    0    0     0     0   31   38  0  0 100  0  0 2020-05-25 19:41:50
 0  0  91819 158706  24177 181799    0    0     0    12   95  109  0  2 98  0  0 2020-05-25 19:41:51
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 158706  24177 181799    0    0     0     0   35   38  0  0 100  0  0 2020-05-25 19:41:52
 0  0  91819 158706  24177 181799    0    0     0     0  102   88  0  0 100  0  0 2020-05-25 19:41:53
 0  0  91819 158659  24177 181799    0    0     0     0  111   99  0  1 99  0  0 2020-05-25 19:41:54
 0  0  91819 158620  24177 181799    0    0     0     0   97   95  0  1 99  0  0 2020-05-25 19:41:55
 0  0  91819 158620  24267 181799    0    0     0     0   93   75  1  0 99  0  0 2020-05-25 19:41:56
 0  0  91819 158620  24267 181799    0    0     0    20   75   98  1  0 98  1  0 2020-05-25 19:41:57
 0  0  91819 158620  24267 181799    0    0     0     0   80   70  0  0 100  0  0 2020-05-25 19:41:58
 0  0  91819 158620  24267 181799    0    0     0     0  117  125  0  0 100  0  0 2020-05-25 19:41:59
 0  0  91819 158620  24267 181799    0    0     0     0   86   86  0  1 99  0  0 2020-05-25 19:42:00
